pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
GJ 3090 b,2.18,4.52,723.0,0.0316,3707.0,0.516,0.519,GJ 3090 b,0,0.27533568,0,0,741.95901,Superterran
Kepler-1307 b,2.47,6.66,768.0,0.1369,5884.0,1.08,1.06,Kepler-1307 b,0,0.26986868,0,0,690.99324,Superterran
Kepler-326 c,1.4,17.4,889.0,0.051,5105.0,0.801,0.91,Kepler-326 c,0,0.28832809,0,0,1163.8324,Terran
GJ 887 b,1.8,3.9,426.0,0.0683,3688.0,0.468,0.495,GJ 887 b,0,0.4097419,0,0,483.24911,Superterran
GJ 887 c,2.43,6.5,320.0,0.121,3688.0,0.468,0.495,GJ 887 c,0,0.55357397,0,0,363.77672,Superterran
Kepler-132 b,1.21,1.92,1082.0,0.067,6003.0,1.178,0.929,Kepler-132 b,0,0.29358514,0,0,1254.9838,Terran
Kepler-707 b,1.33,2.33,1160.0,0.0325,5099.0,0.76,0.8,Kepler-707 b,0,0.29050826,0,0,1196.0073,Terran
Kepler-262 b,1.36,2.42,734.0,0.108,5841.0,0.881,0.816,Kepler-262 b,0,0.30685832,0,0,807.63223,Terran
Kepler-1572 b,0.94,0.779,1293.0,0.05838,5618.0,0.95,0.97,Kepler-1572 b,0,0.29480911,0,0,1439.1012,Terran
Kepler-352 c,1.24,2.07,591.0,0.118,5212.0,0.781,0.798,Kepler-352 c,0,0.3398446,0,0,653.10727,Terran
Kepler-400 c,1.49,2.83,755.0,0.134,5886.0,1.145,1.08,Kepler-400 c,0,0.29666216,0,0,857.77448,Terran
K2-222 b,2.275,7.5,803.0,0.1186,5942.0,1.072,0.94,K2-222 b,0,0.2511495,0,0,895.98805,Superterran
Kepler-1683 b,1.87477762,4.17,669.0,0.1182,5429.0,0.900327,0.95,Kepler-1683 b,0,0.28999137,0,0,746.64951,Superterran
Kepler-122 b,2.34,6.08,1159.0,0.064,6050.0,1.216,0.982,Kepler-122 b,0,0.2409877,0,0,1328.4204,Superterran
Kepler-271 d,0.66,0.219,954.0,0.05554,5555.0,0.87,0.9,Kepler-271 d,0,0.28589346,0,0,1052.8304,Subterran
Kepler-446 c,1.11,1.41,520.0,0.0283,3359.0,0.24,0.22,Kepler-446 c,0,0.46721082,0,0,468.84825,Terran
Kepler-235 c,1.28,2.18,555.0,0.065,4255.0,0.554,0.581,Kepler-235 c,0,0.358722,0,0,598.36867,Terran
Kepler-99 b,1.48,6.15,810.0,0.05071,4782.0,0.73,0.79,Kepler-99 b,0,0.29335307,0,0,912.44313,Terran
Kepler-1555 b,1.61,3.22,959.0,0.0805,5866.0,1.06,1.04,Kepler-1555 b,0,0.27747142,0,0,1268.4623,Superterran
Kepler-783 c,2.33153725,6.04,840.0,0.06903,5411.49,0.872088,0.94,Kepler-783 c,0,0.24884932,0,0,963.04697,Superterran
EPIC 220674823 b,1.606,7.54,2324.0,0.0132,5578.0,0.99,0.913,EPIC 220674823 b,0,0.26861068,0,0,2332.941,Superterran
K2-247 c,2.19,5.43,688.0,0.0615,4667.0,0.69,0.74,K2-247 c,0,0.28228342,0,0,698.21305,Superterran
TOI-904 b,2.426,6.46,429.43,0.056,3770.2,0.527,0.557,TOI-904 b,0,0.30893295,0,0,577.87181,Superterran
TOI-904 c,2.167,5.34,217.26,0.312,3770.2,0.527,0.557,TOI-904 c,2,0.65860318,1,1,244.82075,Superterran
