pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1591 b,1.27,2.15,892.0,8.18504949,0.0,0.0794,439.434,6082.0,1.16,1.1,0.01,Kepler-1591 b,0,0.29116045,0,0,1310.7361,Terran
Kepler-1479 b,1.83,4.01,746.0,14.53261362,0.0,0.11341,98.574,5796.0,0.98,0.99,-0.02,Kepler-1479 b,0,0.27633997,0,0,913.11718,Superterran
Kepler-515 b,1.46,2.73,564.0,19.96371318,0.0,0.1333,47.97,5293.0,0.83,0.9,0.08,Kepler-515 b,0,0.32945863,0,0,658.43127,Terran
TOI-763 b,2.28,9.79,1038.0,5.6057,0.04,0.06,182.935,5450.0,0.897,0.917,0.01,TOI-763 b,0,0.2476747,0,0,1074.7475,Superterran
Kepler-381 d,1.0667865,1.23,1387.0,8.256299973,0.0,0.08364,436.7,6197.0,2.188,1.198,-0.32,Kepler-381 d,0,0.29564193,0,0,1326.5269,Terran
Kepler-1390 b,1.18,1.76,934.0,6.48021673,0.0,0.0662,171.133,5753.0,0.98,0.98,-0.01,Kepler-1390 b,0,0.29821997,0,0,1055.5931,Terran
K2-233 d,2.363,10.3,525.0,24.3681,0.18,0.1516,12.7,4796.0,0.71,0.79,-0.082,K2-233 d,0,0.32850598,0,0,544.27045,Superterran
Kepler-1783 b,1.31946731,2.3,1088.0,8.277440071,0.0,0.07595,65.5,5129.0,1.781,0.887,-0.16,Kepler-1783 b,0,0.3093059,0,0,799.70564,Terran
Kepler-1034 b,2.26,5.73,675.0,12.12400943,0.0,0.0965,36.787,5198.0,0.8,0.83,-0.06,Kepler-1034 b,0,0.27471652,0,0,719.30299,Superterran
Kepler-1842 b,2.35388681,6.14,822.0,14.02639961,0.0,0.116,108.07,5970.0,1.131,1.057,0.06,Kepler-1842 b,0,0.25588139,0,0,832.14025,Superterran
Kepler-220 b,0.81,0.457,759.0,4.159807,0.0,0.046,105.001,4632.0,0.666,0.729,-0.1738,Kepler-220 b,0,0.30298029,0,0,908.96384,Terran
Kepler-409 b,1.199,6.0,438.0,68.9583216,0.69,0.3192,6.15,5421.0,0.897,0.913,0.05,Kepler-409 b,0,0.43784921,0,0,437.87963,Terran
Kepler-184 b,2.36,6.17,780.0,10.687576,0.0,0.092,70.361,5788.0,0.873,0.872,-0.1958,Kepler-184 b,0,0.25549478,0,0,833.26206,Superterran
Kepler-1485 b,1.47,2.76,728.0,19.9157725,0.0,0.14732,85.176,6087.0,1.12,1.11,0.02,Kepler-1485 b,0,0.29571529,0,0,882.49136,Terran
Kepler-1217 b,1.99,4.62,1542.0,2.032325072,0.0,0.0326,1302.948,5905.0,1.08,1.06,0.07,Kepler-1217 b,0,0.25631313,0,0,1673.2727,Superterran
Kepler-1912 b,1.35670508,2.41,976.0,6.059219837,0.0,0.06489,201.8,5734.0,0.962,0.977,0.04,Kepler-1912 b,0,0.29132933,0,0,1100.422,Terran
Kepler-738 b,2.5,6.8,530.0,24.58721573,0.0,0.1552,27.644,5327.0,0.82,0.86,-0.09,Kepler-738 b,0,0.27957782,0,0,645.99575,Superterran
GJ 1252 b,1.193,1.32,1090.0,0.5182331,0.0,0.00915,233.0,3458.0,0.391,0.381,0.1,GJ 1252 b,0,0.2961555,0,0,1125.1618,Terran
Kepler-120 b,2.15,8.5,575.0,6.312501,0.0,0.055,42.692,4096.0,0.534,0.654,-0.12,Kepler-120 b,0,0.26604279,0,0,830.79558,Superterran
